,year,month,day,yield_week_pc
500,2010,9,3,0.020095840096473694
501,2010,9,10,0.02012030780315399
502,2010,9,17,0.01972583308815956
503,2010,9,24,0.019487803801894188
504,2010,10,1,0.018941180780529976
505,2010,10,8,0.02000933326780796
506,2010,10,15,0.019670581445097923
507,2010,10,22,0.019994787871837616
508,2010,10,29,0.01994812674820423
509,2010,11,5,0.01945619285106659
510,2010,11,12,0.01963639073073864
511,2010,11,19,0.01996665634214878
512,2010,11,26,0.020237812772393227
513,2010,12,3,0.02025187760591507
514,2010,12,10,0.0204146858304739
515,2010,12,17,0.020487792789936066
516,2010,12,23,0.02048560418188572
517,2010,12,30,0.020345313474535942
518,2011,1,7,0.0221964493393898
519,2011,1,14,0.022096211090683937
520,2011,1,21,0.022353725507855415
521,2011,1,28,0.022865723818540573
522,2011,2,4,0.02251160331070423
523,2011,2,11,0.022734863683581352
524,2011,2,18,0.021979767829179764
525,2011,2,25,0.021998897194862366
526,2011,3,4,0.022338153794407845
527,2011,3,11,0.022680461406707764
528,2011,3,18,0.022707348689436913
529,2011,3,25,0.022387340664863586
530,2011,4,1,0.02214067429304123
531,2011,4,8,0.021897871047258377
532,2011,4,15,0.02255944535136223
533,2011,4,20,0.022672289982438087
534,2011,4,29,0.022427380084991455
535,2011,5,6,0.025607682764530182
536,2011,5,13,0.025570085272192955
537,2011,5,20,0.025995932519435883
538,2011,5,27,0.025827310979366302
539,2011,6,3,0.02554379403591156
540,2011,6,10,0.02582223154604435
541,2011,6,17,0.026318293064832687
542,2011,6,24,0.02633068710565567
543,2011,7,1,0.026349343359470367
544,2011,7,8,0.028119010850787163
545,2011,7,15,0.02954508550465107
546,2011,7,22,0.029690958559513092
547,2011,7,29,0.029948294162750244
548,2011,8,5,0.03298692777752876
549,2011,8,12,0.03553982079029083
550,2011,8,19,0.03418302536010742
551,2011,8,26,0.034650035202503204
552,2011,9,2,0.03385850787162781
553,2011,9,9,0.03531168773770332
554,2011,9,16,0.03529759496450424
555,2011,9,23,0.03569173440337181
556,2011,9,30,0.0365762859582901
557,2011,10,7,0.036731019616127014
558,2011,10,14,0.03523804247379303
559,2011,10,21,0.034831270575523376
560,2011,10,28,0.03352319821715355
561,2011,11,4,0.03149741142988205
562,2011,11,11,0.03083787113428116
563,2011,11,18,0.031083058565855026
564,2011,11,25,0.0320279635488987
565,2011,12,2,0.03135402128100395
566,2011,12,9,0.030714428052306175
567,2011,12,16,0.03130761533975601
568,2011,12,23,0.03103729337453842
569,2011,12,29,0.030718589201569557
570,2012,1,6,0.029057877138257027
571,2012,1,13,0.02892371267080307
572,2012,1,20,0.02823616936802864
573,2012,1,27,0.02791859582066536
574,2012,2,3,0.02773706614971161
575,2012,2,10,0.02739696204662323
576,2012,2,17,0.027169805020093918
577,2012,2,24,0.026911303400993347
578,2012,3,2,0.02652580291032791
579,2012,3,9,0.026154806837439537
580,2012,3,16,0.02561226300895214
581,2012,3,23,0.025866692885756493
582,2012,3,30,0.02609255723655224
583,2012,4,5,0.028449414297938347
584,2012,4,13,0.0289778970181942
585,2012,4,20,0.028896713629364967
586,2012,4,27,0.028962304815649986
587,2012,5,4,0.029417047277092934
588,2012,5,11,0.030346285551786423
589,2012,5,18,0.032170359045267105
590,2012,5,25,0.03258714824914932
591,2012,6,1,0.032157156616449356
592,2012,6,8,0.02989434078335762
593,2012,6,15,0.02929534763097763
594,2012,6,22,0.028758669272065163
595,2012,6,29,0.0297430157661438
596,2012,7,6,0.028274590149521828
597,2012,7,13,0.029024610295891762
598,2012,7,20,0.028748393058776855
599,2012,7,27,0.02872946299612522
600,2012,8,3,0.027022454887628555
601,2012,8,10,0.025913909077644348
602,2012,8,17,0.025905540212988853
603,2012,8,24,0.026054246351122856
604,2012,8,31,0.02639031410217285
605,2012,9,6,0.02318570390343666
606,2012,9,14,0.02252647466957569
607,2012,9,21,0.022185249254107475
608,2012,9,28,0.02246774360537529
609,2012,10,5,0.02227642387151718
610,2012,10,11,0.02221088483929634
611,2012,10,19,0.022036204114556313
612,2012,10,26,0.02252700738608837
613,2012,11,1,0.022886771708726883
614,2012,11,9,0.024124810472130775
615,2012,11,16,0.024606477469205856
616,2012,11,23,0.02481706812977791
617,2012,11,30,0.024668386206030846
618,2012,12,7,0.023965423926711082
619,2012,12,14,0.023534484207630157
620,2012,12,21,0.023174075409770012
621,2012,12,28,0.023256344720721245
622,2013,1,4,0.02269689552485943
623,2013,1,11,0.022907087579369545
624,2013,1,18,0.022715413942933083
625,2013,1,24,0.022617440670728683
626,2013,2,1,0.02265915647149086
627,2013,2,8,0.021491337567567825
628,2013,2,15,0.021677108481526375
629,2013,2,22,0.021903717890381813
630,2013,3,1,0.022092198953032494
631,2013,3,8,0.023030998185276985
632,2013,3,15,0.022989816963672638
633,2013,3,22,0.023446999490261078
634,2013,3,28,0.023495804518461227
635,2013,4,5,0.023457899689674377
636,2013,4,12,0.02333517000079155
637,2013,4,19,0.023935802280902863
638,2013,4,26,0.023608775809407234
639,2013,5,3,0.023834502324461937
640,2013,5,10,0.023922467604279518
641,2013,5,17,0.02397250384092331
642,2013,5,24,0.0235225148499012
643,2013,5,31,0.023805806413292885
644,2013,6,7,0.023604821413755417
645,2013,6,14,0.024927958846092224
646,2013,6,21,0.02561907470226288
647,2013,6,28,0.026114337146282196
648,2013,7,5,0.027307631447911263
649,2013,7,12,0.02728821337223053
650,2013,7,19,0.02666347473859787
651,2013,7,26,0.026141535490751266
652,2013,8,2,0.025480004027485847
653,2013,8,9,0.024778904393315315
654,2013,8,16,0.024240834638476372
655,2013,8,23,0.024480000138282776
656,2013,8,30,0.024826671928167343
657,2013,9,6,0.02625555545091629
658,2013,9,13,0.025357749313116074
659,2013,9,20,0.025019200518727303
660,2013,9,27,0.02497604861855507
661,2013,10,4,0.025398509576916695
662,2013,10,11,0.02533390000462532
663,2013,10,18,0.024768056347966194
664,2013,10,25,0.024660572409629822
665,2013,11,1,0.02456539310514927
666,2013,11,8,0.024719607084989548
667,2013,11,14,0.02732498198747635
668,2013,11,22,0.02710159495472908
669,2013,11,29,0.027549490332603455
670,2013,12,6,0.02996487356722355
671,2013,12,13,0.030286161229014397
672,2013,12,20,0.03023103065788746
673,2013,12,27,0.02991436794400215
674,2014,1,3,0.028881339356303215
675,2014,1,10,0.02892102673649788
676,2014,1,17,0.029231896623969078
677,2014,1,24,0.029828418046236038
678,2014,1,31,0.0305310171097517
679,2014,2,7,0.028358103707432747
680,2014,2,14,0.02791745960712433
681,2014,2,21,0.028535079210996628
682,2014,2,28,0.028546590358018875
683,2014,3,7,0.031018152832984924
684,2014,3,14,0.031659066677093506
685,2014,3,21,0.031014658510684967
686,2014,3,28,0.029841817915439606
687,2014,4,4,0.027343330904841423
688,2014,4,11,0.026871686801314354
689,2014,4,17,0.026882555335760117
690,2014,4,25,0.026703905314207077
691,2014,5,2,0.02804381772875786
692,2014,5,9,0.03154755011200905
693,2014,5,16,0.03135691583156586
694,2014,5,23,0.03204313665628433
695,2014,5,30,0.03213484585285187
696,2014,6,6,0.02901584468781948
697,2014,6,13,0.02757895551621914
698,2014,6,20,0.027547454461455345
699,2014,6,27,0.02795211784541607
700,2014,7,4,0.028042931109666824
701,2014,7,11,0.02760530449450016
702,2014,7,18,0.026974523440003395
703,2014,7,25,0.02626948617398739
704,2014,8,1,0.02699560672044754
705,2014,8,8,0.028011424466967583
706,2014,8,15,0.027924083173274994
707,2014,8,22,0.026979146525263786
708,2014,8,29,0.026074357330799103
709,2014,9,5,0.026139933615922928
710,2014,9,12,0.02736462652683258
711,2014,9,19,0.027432430535554886
712,2014,9,26,0.028328513726592064
713,2014,10,3,0.028974762186408043
714,2014,10,10,0.027270326390862465
715,2014,10,17,0.027553049847483635
716,2014,10,24,0.029592085629701614
717,2014,10,31,0.02936634048819542
718,2014,11,7,0.0279331523925066
719,2014,11,14,0.028567567467689514
720,2014,11,21,0.028101233765482903
721,2014,11,28,0.027162406593561172
722,2014,12,5,0.027490144595503807
723,2014,12,12,0.02863847278058529
724,2014,12,19,0.029508883133530617
725,2014,12,26,0.028446689248085022
726,2015,1,2,0.02741239219903946
727,2015,1,9,0.025424566119909286
728,2015,1,16,0.025563912466168404
