,year,month,day,week_si
454,2021,10,1,0.015940693616867067
455,2021,10,8,0.016910427808761598
456,2021,10,15,0.013595105409622192
457,2021,10,22,0.016878983974456786
458,2021,10,29,0.017822619676589966
459,2021,11,5,0.014392331838607789
460,2021,11,12,0.01755884528160095
461,2021,11,19,0.014095497131347657
462,2021,11,26,0.017811182737350464
463,2021,12,3,0.01800062894821167
464,2021,12,10,0.017974040508270263
465,2021,12,17,0.017309634685516356
466,2021,12,24,0.014233179092407226
467,2021,12,31,0.013662959337234498
468,2022,1,7,0.01764936566352844
469,2022,1,14,0.01899156451225281
470,2022,1,21,0.019887804985046387
471,2022,1,27,0.020293776988983155
