year,month,day,ivolbr
2016,3,22,32.73552
2016,3,23,32.82019
2016,3,24,35.45057
2016,3,28,35.14419
2016,3,29,36.80337
2016,4,1,35.7872
2016,4,4,35.12323
2016,4,5,36.56663
2016,4,6,37.80352
2016,4,7,
2016,4,8,39.53756
2016,4,11,38.19432
2016,4,12,36.93509
2016,4,13,36.02785
2016,4,14,34.65993
2016,4,15,34.37857
2016,4,18,28.32873
2016,4,19,27.0459
2016,4,20,26.06522
2016,4,25,27.71522
2016,4,26,25.6548
2016,4,27,25.22559
2016,4,28,24.90191
2016,5,2,27.14028
2016,5,3,26.14436
2016,5,4,26.64995
2016,5,5,25.96107
2016,5,6,28.41176
2016,5,9,29.1789
2016,5,10,26.84691
2016,5,11,24.78259
2016,5,12,26.50246
2016,5,13,26.73706
2016,5,16,
2016,5,17,26.36781
2016,5,18,27.73744
2016,5,19,28.52667
2016,5,20,25.12691
2016,5,23,28.98134
2016,5,24,27.92254
2016,5,25,27.81264
2016,5,27,25.54495
2016,5,30,26.5935
2016,5,31,27.74641
2016,6,1,27.67011
2016,6,2,23.73876
2016,6,3,26.84744
2016,6,6,24.86131
2016,6,7,23.42162
2016,6,8,24.35272
2016,6,9,25.9515
2016,6,10,26.2635
2016,6,13,21.62448
2016,6,14,25.30713
2016,6,15,26.33211
2016,6,16,24.96767
2016,6,17,25.78074
2016,6,21,25.87485
2016,6,22,24.19933
2016,6,23,25.90427
2016,6,24,24.96902
2016,6,28,25.83521
2016,6,29,25.27012
2016,6,30,
2016,7,1,23.20035
2016,7,4,21.68668
2016,7,5,24.76519
2016,7,6,24.61511
2016,7,7,22.97407
2016,7,8,23.64118
2016,7,11,22.46096
2016,7,12,23.19171
2016,7,13,21.24723
2016,7,14,21.90424
2016,7,15,23.39909
2016,7,18,19.80203
2016,7,19,20.30205
2016,7,20,20.16807
2016,7,21,20.18122
2016,7,22,18.64942
2016,7,25,17.86334
2016,7,27,21.09518
2016,7,28,22.28816
2016,7,29,22.42777
2016,8,1,22.46227
2016,8,2,
2016,8,3,
2016,8,4,23.20077
2016,8,5,21.37958
2016,8,8,20.85208
2016,8,9,19.23409
2016,8,11,20.22756
2016,8,15,19.63118
2016,8,16,21.21297
2016,8,17,23.64788
2016,8,18,21.63372
2016,8,19,21.15479
