date,average_short_interest
2015-05-07,29.138669704784828
2015-05-08,28.70410799804761
2015-05-11,28.241306238816588
2015-05-12,28.21741750826226
2015-05-13,27.901581383411735
2015-05-14,28.209457703599927
2015-05-15,28.099646387015
2015-05-18,28.136342615623512
2015-05-19,28.572686586945146
2015-05-20,28.452356212920446
2015-05-21,27.96996580475499
2015-05-22,27.545077904575376
2015-05-25,27.410154086638386
2015-05-26,27.81002580581968
2015-05-27,27.77522752433094
2015-05-28,28.12160283782758
2015-05-29,28.17658604991321
2015-06-01,28.473787193809137
2015-06-02,28.685654171909082
2015-06-03,28.891400371095845
2015-06-05,29.534183438783067
2015-06-08,30.13579607374652
2015-06-09,30.109335037949602
2015-06-10,30.218488290050608
2015-06-11,29.741017940922983
2015-06-12,30.393966500701012
2015-06-15,30.416826742942217
2015-06-16,30.493237459860886
2015-06-17,30.832099372246585
2015-06-18,30.431808356249302
2015-06-19,30.299651287631928
2015-06-22,30.278560264866016
2015-06-23,30.358831099623387
2015-06-24,30.420857570108677
2015-06-25,30.63792207706032
2015-06-26,30.462029760474344
2015-06-29,30.514205558213682
2015-06-30,30.081034649664314
2015-07-01,29.858379985821013
2015-07-02,30.052013923081528
2015-07-03,30.080226452846006
2015-07-06,30.25830653566951
2015-07-07,30.10924106664439
2015-07-08,30.153717458706765
2015-07-10,30.4210909584761
2015-07-13,30.638785547468572
2015-07-14,29.826454526552695
2015-07-15,29.5448222099318
2015-07-16,30.086644678275782
2015-07-17,29.783227220126896
2015-07-20,30.06205097588597
2015-07-21,30.198530924759112
2015-07-22,30.444316850395072
2015-07-23,29.46897862603506
2015-07-24,30.005972225673823
2015-07-27,30.075633431335575
2015-07-28,29.69240265388328
2015-07-29,29.662013739834123
2015-07-30,29.580665608871318
2015-07-31,29.45581730040393
2015-08-03,30.0479376032017
2015-08-04,30.08482153923744
2015-08-05,29.743671616022056
2015-08-06,29.54569770391112
2015-08-07,29.971711264237367
2015-08-10,29.892668992452244
2015-08-11,29.51039609275836
2015-08-12,29.878906590664357
2015-08-13,30.156661194371914
2015-08-14,29.890317228330133
2015-08-17,30.021907142760135
2015-08-18,31.044316597243455
2015-08-19,31.358917343763405
2015-08-20,30.965904409065544
2015-08-21,31.701233049957082
2015-08-24,31.930205699021993
2015-08-25,32.27031070632899
2015-08-26,32.61190833580755
2015-08-27,33.19963956420581
2015-08-28,33.57716297210058
2015-08-31,33.30682433284831
2015-09-01,33.49428629972649
2015-09-02,33.98237988217226
2015-09-03,33.666863903765794
2015-09-04,33.90634081054436
2015-09-08,34.003467730966754
2015-09-09,34.265009522719474
2015-09-10,34.28217613900449
2015-09-11,34.41685593971448
2015-09-14,34.76973415425776
2015-09-15,34.8922300857285
2015-09-16,35.05423368995748
2015-09-17,34.89201165180612
2015-09-18,34.65431612194111
2015-09-21,35.512024620625105
2015-09-22,35.67414081258582
2015-09-23,35.66091626565684
2015-09-24,33.79241900700233
2015-09-25,34.02088082273843
2015-09-28,35.90679908208168
2015-09-29,35.88760136777473
2015-09-30,36.09680307823739
2015-10-01,36.12318697794318
2015-10-02,36.28952084801318
2015-10-05,36.422115883280924
2015-10-06,36.152789155267826
2015-10-07,36.14525683438332
2015-10-08,35.589588909195605
2015-10-09,35.789427561293024
2015-10-13,36.336084086440295
2015-10-14,36.46118973664849
2015-10-15,37.754076133228
2015-10-16,37.47644618398586
2015-10-19,36.06679189026442
2015-10-20,36.36236536522832
2015-10-21,35.97327664980846
2015-10-22,34.94216686608373
2015-10-23,35.09575929693212
2015-10-26,34.53883589437885
2015-10-27,34.33342797004104
2015-10-28,33.57038084457413
2015-10-29,33.812946847630165
2015-10-30,33.962779484238396
2015-11-03,33.492181560771265
2015-11-04,33.38311190013123
2015-11-05,33.56229416085669
2015-11-06,32.89247307689788
2015-11-09,32.835822723430795
2015-11-10,32.79890272623017
2015-11-11,32.77926726355517
2015-11-12,32.54224172193139
2015-11-13,32.2845203965385
2015-11-16,32.10664616158516
2015-11-17,32.69631853645939
2015-11-18,32.79493020352073
2015-11-19,32.823598338210246
2015-11-23,32.810826723298526
2015-11-24,32.499000330867936
2015-11-25,32.20362811863692
2015-11-26,31.862289723096946
2015-11-27,32.521866619359756
2015-11-30,32.14645208830685
2015-12-01,32.17202880224648
2015-12-02,32.5998320998614
2015-12-03,31.780040606506
2015-12-04,32.25365924337051
2015-12-07,32.04428685010008
2015-12-08,31.8727386066262
2015-12-09,31.17785675847632
2015-12-10,30.681750027285204
2015-12-11,30.964554455433014
2015-12-14,30.935675654008868
2015-12-15,30.973963224070914
2015-12-16,31.28712551666911
2015-12-17,31.074918346355886
2015-12-18,30.558024768001182
2015-12-21,30.49206643586095
2015-12-22,30.969955052641765
2015-12-23,30.893135233307905
2015-12-28,30.240720619658564
2015-12-29,29.854655287960686
2015-12-30,29.296123661445748
2016-01-04,29.17056109830344
2016-01-05,29.67731486919348
2016-01-06,29.31709084060371
2016-01-07,29.870251684343494
2016-01-08,30.381548743184627
2016-01-11,31.144628984093135
2016-01-12,31.663586019296847
2016-01-13,32.28425517122676
2016-01-14,32.344581985786654
2016-01-15,33.019826977433745
2016-01-18,33.76271870724526
2016-01-19,34.254597847251745
2016-01-20,34.2276017621775
2016-01-21,33.869832527102396
2016-01-22,34.09155120589541
2016-01-26,35.18628683728035
2016-01-27,35.14539009776409
2016-01-28,35.18345005705241
2016-01-29,35.28295129486216
2016-02-01,35.31272466023421
2016-02-02,35.5961421346966
2016-02-03,36.23095541156679
2016-02-04,36.57750221247294
2016-02-05,36.759700778741816
2016-02-10,36.42502743019211
2016-02-11,35.63669466502305
2016-02-12,35.40718966975552
2016-02-15,35.496008138394465
