ano,mes,dia,yield_week_pc
2015,2,27,.0248377
2015,3,6,.0285415
2015,3,13,.0293211
2015,3,20,.0283707
2015,3,27,.0281697
2015,4,2,.0274949
2015,4,10,.0264863
2015,4,17,.0264387
2015,4,24,.0263259
2015,4,30,.0261035
2015,5,8,.0226512
2015,5,15,.0227212
2015,5,22,.0232672
2015,5,29,.0237935
2015,6,5,.0226539
2015,6,12,.022611
2015,6,19,.0225581
2015,6,26,.022412
2015,7,3,.0234218
2015,7,10,.024141
2015,7,17,.0238794
2015,7,24,.0246899
2015,7,31,.0250755
2015,8,7,.0249309
2015,8,14,.0256772
2015,8,21,.0265136
2015,8,28,.0268825
2015,9,4,.026664
2015,9,11,.0267558
2015,9,18,.0261874
2015,9,25,.0271563
2015,10,2,.0277615
2015,10,9,.0269875
2015,10,16,.0276765
2015,10,23,.0273464
2015,10,30,.0277839
2015,11,6,.0266219
2015,11,13,.0270661
2015,11,19,.0266597
2015,11,27,.0267642
2015,12,4,.0277425
2015,12,11,.027794
2015,12,18,.0283058
2015,12,23,.0289508
2015,12,30,.0289484
2016,1,8,.0374373
2016,1,15,.0390123
2016,1,22,.0401442
2016,1,29,.0390289
2016,2,5,.0354073
2016,2,12,.035903
2016,2,19,.0350466
2016,2,26,.0344908
2016,3,4,.0316507
2016,3,11,.0294589
2016,3,18,.0296576
2016,3,24,.0289426
2016,4,1,.0285525
2016,4,8,.0287428
2016,4,15,.0273617
2016,4,22,.0268132
2016,4,29,.0267546
2016,5,6,.0274291
2016,5,13,.0273969
2016,5,20,.0281938
2016,5,27,.0286956
2016,6,3,.02785
2016,6,10,.027028
2016,6,17,.0276976
2016,6,24,.0271569
2016,7,1,.0264975
2016,7,8,.0239475
2016,7,15,.0230748
2016,7,22,.0224223
2016,7,29,.0223256
2016,8,5,.023658
2016,8,12,.0234079
2016,8,19,.0230024
2016,8,26,.0235169
2016,9,2,.0229569
2016,9,9,.0222072
2016,9,16,.0228288
2016,9,23,.0226039
2016,9,30,.0225165
2016,10,7,.0203397
2016,10,14,.020112
2016,10,21,.0195669
2016,10,28,.0195782
2016,11,4,.0200651
2016,11,11,.0204319
2016,11,18,.0212242
2016,11,25,.0208867
2016,12,2,.021965
2016,12,9,.0233936
2016,12,16,.0240605
2016,12,23,.0243231
2016,12,29,.0237379
2017,1,6,.0230063
2017,1,13,.0226306
2017,1,20,.0222436
2017,1,27,.0217018
2017,2,3,.0224787
2017,2,10,.0227075
2017,2,17,.0219336
2017,2,24,.0217555
2017,3,3,.0222845
2017,3,10,.0226122
2017,3,17,.0225732
2017,3,24,.0229173
2017,3,31,.0224586
2017,4,7,.0225963
2017,4,13,.0229411
2017,4,20,.022898
2017,4,28,.0226299
2017,5,5,.0232129
2017,5,12,.0227737
2017,5,19,.0232094
2017,5,26,.0240979
2017,6,2,.0236554
2017,6,9,.0232656
2017,6,16,.0236538
2017,6,23,.0238644
2017,6,30,.0236254
2017,7,7,.0233331
2017,7,14,.0227589
2017,7,21,.0224683
2017,7,28,.0224364
2017,8,4,.0207941
2017,8,11,.0203895
2017,8,18,.0205904
2017,8,25,.0201621
2017,9,1,.0201647
2017,9,8,.0205755
2017,9,15,.0198693
2017,9,22,.0195795
2017,9,29,.0200148
2017,10,6,.0195613
2017,10,13,.0193565
2017,10,20,.0194234
2017,10,27,.0196122
2017,11,3,.020264
2017,11,10,.0208482
2017,11,17,.021145
2017,11,24,.0206098
2017,12,1,.0207786
2017,12,8,.0191484
2017,12,15,.0190846
2017,12,22,.0189736
2017,12,28,.0185149
2018,1,5,.0208114
2018,1,12,.0207638
2018,1,19,.020358
2018,1,26,.0198599
2018,2,2,.0179339
2018,2,9,.0160707
2018,2,16,.0158417
2018,2,23,.0155754
2018,3,2,.0177556
2018,3,9,.0209463
2018,3,16,.0208234
2018,3,23,.0211783
2018,3,29,.0212469
2018,4,6,.0201211
2018,4,13,.0203295
2018,4,20,.0204027
2018,4,27,.0202425
2018,5,4,.0214806
2018,5,11,.0219891
2018,5,18,.022359
2018,5,25,.0231817
2018,6,1,.0243026
2018,6,8,.0247478
2018,6,15,.0258322
2018,6,22,.0260864
2018,6,29,.0259163
2018,7,6,.0256229
2018,7,13,.0252236
2018,7,20,.0243824
2018,7,27,.0240112
2018,8,3,.0240254
2018,8,10,.0242714
2018,8,17,.0247022
2018,8,24,.025237
2018,8,31,.0249774
2018,9,6,.0249398
2018,9,14,.0251733
2018,9,21,.0246295
2018,9,28,.0245932
2018,10,5,.0250142
2018,10,11,.0241203
2018,10,19,.0241692
2018,10,26,.0240946
2018,11,1,.0235473
2018,11,9,.0233833
2018,11,16,.0236023
2018,11,23,.0231848
2018,11,30,.0228007
2018,12,7,.0238811
2018,12,14,.0242263
2018,12,21,.0244796
2018,12,28,.0244849
2019,1,4,.0246975
2019,1,11,.024356
2019,1,18,.0237268
2019,1,24,.0233964
2019,2,1,.0227501
2019,2,8,.020941
2019,2,15,.0209762
2019,2,22,.0208874
2019,3,1,.0216445
2019,3,8,.0243974
2019,3,15,.0236148
2019,3,22,.0238022
2019,3,29,.0245784
2019,4,5,.0225232
2019,4,12,.0226575
2019,4,18,.0229635
2019,4,26,.0225617
2019,5,3,.0232006
2019,5,10,.0242278
2019,5,17,.0252025
2019,5,24,.0245864
2019,5,31,.0239006
2019,6,7,.0237861
2019,6,14,.0234926
2019,6,21,.023141
2019,6,28,.0229419
2019,7,5,.0227867
2019,7,12,.0221867
2019,7,19,.0223531
2019,7,26,.0223902
2019,8,2,.0222203
2019,8,9,.0221003
2019,8,16,.0224841
2019,8,23,.0228374
2019,8,30,.0230375
2019,9,6,.0243572
2019,9,13,.024067
2019,9,20,.0238157
2019,9,27,.023759
2019,10,4,.0238437
2019,10,11,.0240941
2019,10,18,.0234515
2019,10,25,.0231208
2019,11,1,.0233536
2019,11,8,.0242054
2019,11,14,.0245111
2019,11,22,.0243541
2019,11,29,.0240847
2019,12,6,.0233913
2019,12,13,.0229867
2019,12,20,.0223911
2019,12,27,.0218628
2019,12,30,.0220386
2020,1,3,.0236775
2020,1,10,.0238743
2020,1,17,.0234954
2020,1,24,.0231665
2020,1,31,.0237658
2020,2,7,.0235661
2020,2,14,.02371
2020,2,21,.0235242
2020,2,28,.0258626
2020,3,6,.0292909
2020,3,13,.0357732
2020,3,20,.042634
2020,3,27,.0414718
2020,4,3,.037143
2020,4,9,.032644
2020,4,17,.0316948
2020,4,24,.0315683
2020,4,30,.0308738
2020,5,8,.0305589
2020,5,15,.0310208
2020,5,22,.0298491
2020,5,29,.0280721
2020,6,5,.0247711
2020,6,12,.0239213
2020,6,19,.023964
2020,6,26,.0238129
2020,7,3,.023617
2020,7,10,.0229132
2020,7,17,.022623
2020,7,24,.0219496
2020,7,31,.0217667
2020,8,7,.0232206
2020,8,14,.0233776
2020,8,21,.0235645
2020,8,28,.0233887
2020,9,4,.0215805
2020,9,11,.0214082
2020,9,18,.021346
2020,9,25,.0219546
2020,10,2,.0242343
2020,10,9,.0262181
2020,10,16,.0254278
2020,10,23,.0250794
2020,10,30,.0258786
2020,11,6,.0241236
2020,11,13,.0232014
2020,11,20,.0228079
2020,11,27,.0226781
2020,12,4,.0221718
2020,12,11,.0216726
2020,12,18,.0211751
2020,12,23,.0212759
2020,12,30,.020867
2021,1,8,.0192268
2021,1,15,.0188339
2021,1,22,.0191972
2021,1,29,.0197026
2021,2,5,.0173505
2021,2,12,.0172772
2021,2,19,.017282
2021,2,26,.0179995
2021,3,5,.0185801
2021,3,12,.0186561
2021,3,19,.0183035
2021,3,26,.0185872
2021,4,1,.0195094
2021,4,9,.0228407
2021,4,16,.0224172
2021,4,23,.0223787
2021,4,30,.0224228
2021,5,7,.0258951
2021,5,14,.0256238
2021,5,21,.0253895
2021,5,28,.0251127
2021,6,4,.0243707
2021,6,11,.0241865
2021,6,18,.024317
2021,6,25,.0244811
2021,7,2,.0259809
2021,7,8,.027791
2021,7,16,.0274421
2021,7,23,.027827
2021,7,30,.028035
2021,8,6,.0286366
2021,8,13,.028914
2021,8,20,.0300477
2021,8,27,.0296234
2021,9,3,.0317542
2021,9,10,.0337178
2021,9,17,.0338921
2021,9,24,.0348371
2021,10,1,.0374007
2021,10,8,.0466003
2021,10,15,.0454855
2021,10,22,.0469595
2021,10,29,.0486145
2021,11,5,.0481167
2021,11,12,.0475898
2021,11,19,.049176
2021,11,26,.0492793
2021,12,3,.0512221
2021,12,10,.0502801
2021,12,17,.0503004
2021,12,23,.0516669
2021,12,30,.0518732
2022,1,7,.0545794
2022,1,14,.0540723
2022,1,21,.0527726
2022,1,28,.0513171
2022,2,4,.0494524
2022,2,11,.0489871
2022,2,18,.0480221
2022,2,25,.0489636
2022,3,4,.0484463
2022,3,11,.0495971
2022,3,18,.0501928
2022,3,25,.0477837
2022,4,1,.0466964
2022,4,8,.0468217
2022,4,14,.048029
2022,4,22,.0492292
2022,4,29,.0511859
2022,5,6,.0575712
2022,5,13,.0590531
2022,5,20,.0576335
2022,5,27,.0564369
2022,6,3,.059998
2022,6,10,.0646411
2022,6,17,.0681845
2022,6,24,.0694873
2022,7,1,.0688684
2022,7,8,.0667327
2022,7,15,.0677151
2022,7,22,.0672056
2022,7,29,.0653541
2022,8,5,.0633354
2022,8,12,.0606882
2022,8,19,.0598961
2022,8,26,.060544
2022,9,2,.0669015
2022,9,9,.0748655
2022,9,16,.0751237
2022,9,23,.0742636
2022,9,30,.0768263
2022,10,7,.0604626
2022,10,14,.0618164
2022,10,21,.0609029
2022,10,28,.0615502
2022,11,4,.0590455
2022,11,11,.0606005
2022,11,18,.0629008
2022,11,25,.0637166
2022,12,2,.066484
2022,12,9,.0726901
2022,12,16,.0761833
2022,12,23,.0739867
