ano,mes,dia,Rm_minus_Rf
2005,2,14,-.0006388
2005,2,15,.0059699
2005,2,16,-.0099415
2005,2,17,.0165282
2005,2,18,-.006963
2005,2,21,.0028696
2005,2,22,.0039556
2005,2,23,.0122851
2005,2,24,.0411312
2005,2,25,-.005383
2005,2,28,-.0147975
2005,3,1,-.0092214
2005,3,2,.0133796
2005,3,3,.0192237
2005,3,4,.0156879
2005,3,7,.0082553
2005,3,8,-.0113771
2005,3,9,-.0146324
2005,3,10,-.0100275
2005,3,11,-.0113974
2005,3,14,-.005527
2005,3,15,-.0163355
2005,3,16,.0054903
2005,3,17,.0099083
2005,3,18,-.0164096
2005,3,21,-.0123223
2005,3,22,-.0209295
2005,3,23,-.0221203
2005,3,24,.020616
2005,3,28,-.019308
2005,3,29,-.0218042
2005,3,30,.0197132
2005,3,31,.0083922
2005,4,1,.0042731
2005,4,4,-.0123
2005,4,5,-.0135763
2005,4,6,-.0117431
2005,4,7,.0156027
2005,4,8,-.0121388
2005,4,11,-.0013416
2005,4,12,.0031176
2005,4,13,-.0088632
2005,4,14,-.0378504
2005,4,15,-.011485
2005,4,18,.0057548
2005,4,19,.0231417
2005,4,20,-.0169344
2005,4,22,-.0103751
2005,4,25,.0178289
2005,4,26,.0072701
2005,4,27,-.0059578
2005,4,28,-.0299542
2005,4,29,.0138491
2005,5,2,-.0032004
2005,5,3,-.0032454
2005,5,4,.0264501
2005,5,5,-.0044322
2005,5,6,.0058063
2005,5,9,-.0012699
2005,5,10,-.0223493
2005,5,11,-.0060007
2005,5,12,-.022332
2005,5,13,-.0112349
2005,5,16,.0187154
2005,5,17,.0016467
2005,5,18,.0181435
2005,5,19,-.0011477
2005,5,20,-.0118896
2005,5,23,-.0118178
2005,5,24,.0109524
2005,5,25,-.0015404
2005,5,27,.0216635
2005,5,30,.0070332
2005,5,31,-.0079808
2005,6,1,.0266052
2005,6,2,.0212061
2005,6,3,-.0017073
2005,6,6,-.0208673
2005,6,7,-.0210048
2005,6,8,-.0081797
2005,6,9,-.0066662
2005,6,10,.0124517
2005,6,13,-.0040959
2005,6,14,.0245505
2005,6,15,-.0045995
2005,6,16,.0097074
2005,6,17,.009919
2005,6,20,-.0017848
2005,6,21,-.0113703
2005,6,22,-.0004754
2005,6,23,-.0249496
2005,6,24,-.0038562
2005,6,27,.0141713
2005,6,28,.0026049
2005,6,29,-.006479
2005,6,30,-.0042671
2005,7,1,.0135413
2005,7,4,-.009053
2005,7,5,-.0097767
