ano,mes,dia,SMB
2004,10,25,-.0168278
2004,10,26,.0032663
2004,10,27,.0141113
2004,10,28,-.0089399
2004,10,29,.0085169
2004,11,1,.0174756
2004,11,3,-.000547
2004,11,4,-.0042946
2004,11,5,-.0100769
2004,11,8,.0025341
2004,11,9,-.0061177
2004,11,10,-.0037538
2004,11,11,.0020205
2004,11,12,.0108269
2004,11,16,.0040135
2004,11,17,-.0025482
2004,11,18,.0089433
2004,11,19,.0027549
2004,11,22,.0087163
2004,11,23,-.0043856
2004,11,24,-.0079479
2004,11,25,.0002376
2004,11,26,.0010072
2004,11,29,-.0114028
2004,11,30,.0121202
2004,12,1,-.0000473
2004,12,2,-.007519
2004,12,3,-.0023298
2004,12,6,-.0064885
2004,12,7,.001957
2004,12,8,.0180996
2004,12,9,-.0199052
2004,12,10,-.0012225
2004,12,13,-.0038434
2004,12,14,-.0003237
2004,12,15,-.0009613
2004,12,16,.0067207
2004,12,17,-.004321
2004,12,20,.0041344
2004,12,21,-.0069051
2004,12,22,-.006259
2004,12,23,-.0124807
2004,12,27,.0044442
2004,12,28,.0051613
2004,12,29,.0070248
2004,12,30,.0033061
2005,1,3,.01437
2005,1,4,.0071386
2005,1,5,.0165916
2005,1,6,-.0005219
2005,1,7,.0039612
2005,1,10,-.0116822
2005,1,11,.0062667
2005,1,12,.0165557
2005,1,13,-.0118138
2005,1,14,-.0118241
2005,1,17,-.0023946
2005,1,18,-.0139068
2005,1,19,.0038514
2005,1,20,-.0085942
2005,1,21,.0025453
2005,1,24,-.0079663
2005,1,26,.0098395
2005,1,27,-.0040813
2005,1,28,-.0016663
2005,1,31,-.001654
2005,2,1,-.0040028
2005,2,2,.0021277
2005,2,3,.0076221
2005,2,4,-.0035874
2005,2,9,-.0093658
2005,2,10,.0010646
2005,2,11,-.001358
2005,2,14,.0014883
2005,2,15,-.009518
2005,2,16,.0020135
2005,2,17,.0022522
2005,2,18,-.002725
2005,2,21,-.001425
2005,2,22,-.0130306
2005,2,23,.0007189
2005,2,24,-.0097538
2005,2,25,.0061748
2005,2,28,.0040993
2005,3,1,-.0024628
2005,3,2,.010606
2005,3,3,-.0130175
2005,3,4,.0006703
2005,3,7,-.0061539
2005,3,8,.0055994
2005,3,9,.0025037
2005,3,10,.0298339
2005,3,11,-.0122784
2005,3,14,.0171748
2005,3,15,-.0018914
2005,3,16,-.0006377
2005,3,17,-.0089112
2005,3,18,.0049992
2005,3,21,.0114936
2005,3,22,-.0169401
2005,3,23,.008871
2005,3,24,-.0159419
2005,3,28,.0091688
2005,3,29,.0095188
2005,3,30,-.0077613
2005,3,31,-.0087238
2005,4,1,.0000136
2005,4,4,.0031447
2005,4,5,.001111
2005,4,6,-.0035264
2005,4,7,.0150997
2005,4,8,.0059575
2005,4,11,.0011713
2005,4,12,.0074967
2005,4,13,.0057211
2005,4,14,.0031701
2005,4,15,-.0077009
2005,4,18,-.0004892
2005,4,19,.0011705
2005,4,20,.0041863
2005,4,22,.0078795
2005,4,25,-.0162323
2005,4,26,-.0162738
2005,4,27,.0095452
2005,4,28,.0067055
2005,4,29,.0208547
2005,5,2,-.0013798
2005,5,3,-.0045366
2005,5,4,-.0013467
2005,5,5,.0049923
2005,5,6,.0011811
2005,5,9,.0069148
2005,5,10,-.0012179
2005,5,11,.0093716
2005,5,12,.0103752
2005,5,13,-.0005851
2005,5,16,-.0085342
2005,5,17,.0049428
2005,5,18,-.0046335
2005,5,19,.00653
2005,5,20,.0035392
2005,5,23,.0058381
2005,5,24,-.0062162
2005,5,25,.0064293
2005,5,27,.0058992
2005,5,30,-.0110917
2005,5,31,.0091252
2005,6,1,-.0032501
2005,6,2,-.0025615
2005,6,3,-.0085732
2005,6,6,-.0186522
2005,6,7,-.0078305
2005,6,8,-.003244
2005,6,9,-.0064856
2005,6,10,.0131556
2005,6,13,-.0014983
2005,6,14,.0007611
2005,6,15,-.009787
2005,6,16,.0099916
2005,6,17,.0010837
2005,6,20,.0058078
2005,6,21,.0140997
2005,6,22,-.0084642
2005,6,23,-.0119907
2005,6,24,.0106101
2005,6,27,-.0076872
2005,6,28,-.0093728
2005,6,29,.0024377
2005,6,30,.007752
2005,7,1,.0043127
2005,7,4,-.0021098
2005,7,5,-.0134004
2005,7,6,-.0121413
2005,7,7,.001083
2005,7,8,-.0084923
